,videoid,publishedAt,thumbnail_url,hashtags,viewCount,commentCount
44,TPHZlsZSn6U,2020-07-19T11:42:05Z,https://i.ytimg.com/vi/TPHZlsZSn6U/hqdefault.jpg,{'#BollywoodLobby'},684139,6426
45,-Azutq1MxSQ,2018-07-30T11:18:35Z,https://i.ytimg.com/vi/-Azutq1MxSQ/hqdefault.jpg,{'#LutyensDebate'},120056,433
46,bzIBzWQd8A4,2019-08-06T05:44:20Z,https://i.ytimg.com/vi/bzIBzWQd8A4/hqdefault.jpg,{'#Kashmirintegrated'},147341,468
47,2ljAA1-e4EQ,2020-09-10T19:03:26Z,https://i.ytimg.com/vi/2ljAA1-e4EQ/hqdefault.jpg,{'#KanganaVsUddhav'},360807,3070
48,AaFVeT80o6g,2020-01-08T19:27:50Z,https://i.ytimg.com/vi/AaFVeT80o6g/hqdefault.jpg,{'#BollywoodPseudos'},239241,1615
49,azCMcuPtjps,2019-07-31T05:05:37Z,https://i.ytimg.com/vi/azCMcuPtjps/hqdefault.jpg,"{'#Mod', '#ModiEndsTripleTalaq'}",50545,308
50,ia8IjPIUfDk,2018-08-27T06:28:30Z,https://i.ytimg.com/vi/ia8IjPIUfDk/hqdefault.jpg,{'#RahulTerrorLogic'},177930,808
51,RkJLtmOeuE8,2022-10-26T18:12:39Z,https://i.ytimg.com/vi/RkJLtmOeuE8/hqdefault.jpg,{'#CoimbatoreCoverup'},7121,28
52,FpyC3lL4OIQ,2021-06-24T16:39:00Z,https://i.ytimg.com/vi/FpyC3lL4OIQ/hqdefault.jpg,{'#KashmirPolicyWins'},4982,17
53,nzhQluYd5BY,2018-10-30T04:54:03Z,https://i.ytimg.com/vi/nzhQluYd5BY/hqdefault.jpg,"{'#LoCStrike', '#LocStrike'}",140248,572
54,-ar4leTwHfI,2019-09-17T06:05:08Z,https://i.ytimg.com/vi/-ar4leTwHfI/hqdefault.jpg,{'#WillHindiUnify'},126340,3629
55,ACkvpy_K5AQ,2020-02-13T18:35:43Z,https://i.ytimg.com/vi/ACkvpy_K5AQ/hqdefault.jpg,{'#JaishankarGivesitBack'},241264,1060
56,QjoEq5FFHmg,2021-06-21T17:14:57Z,https://i.ytimg.com/vi/QjoEq5FFHmg/hqdefault.jpg,"{'#2chiapoticy', '#2ChildPolicy', '#2ChildPolic'}",167055,430
57,q3-Wj86WmZY,2022-09-21T18:33:41Z,https://i.ytimg.com/vi/q3-Wj86WmZY/hqdefault.jpg,{'#FinalTRPReport'},4612,21
58,czxag6rKcJk,2021-09-21T19:21:16Z,https://i.ytimg.com/vi/czxag6rKcJk/hqdefault.jpg,{'#TalibaniPakistan'},83122,627
59,VltyDk_pMIQ,2019-06-18T05:53:51Z,https://i.ytimg.com/vi/VltyDk_pMIQ/hqdefault.jpg,{'#indiaWithSania'},206267,1238
60,VltyDk_pMIQ,2019-06-18T05:53:51Z,https://i.ytimg.com/vi/VltyDk_pMIQ/hqdefault.jpg,{'#indiaWithSania'},206268,1238
61,asD0kXOTGWI,2020-10-15T16:31:51Z,https://i.ytimg.com/vi/asD0kXOTGWI/hqdefault.jpg,{'#RealSecularism'},5446,14
62,qm3lrp-6T8M,2021-07-29T17:35:57Z,https://i.ytimg.com/vi/qm3lrp-6T8M/hqdefault.jpg,{'#AmericaDontMeddle'},18744,72
63,KPGY75haQB0,2017-05-13T12:19:00Z,https://i.ytimg.com/vi/KPGY75haQB0/hqdefault.jpg,{'#ZakirConversionFactory'},377401,2326
64,StIT2RJtOTA,2022-10-18T17:36:36Z,https://i.ytimg.com/vi/StIT2RJtOTA/hqdefault.jpg,{'#TukdeTukdeCowards'},43046,53
